"Имя","Категория","Количество","Материал","Материал.Имя","Материал.Плотность","Материал.Теплопроводность","Материал.Уникальный идентификатор","Номинальная высота","Номинальная длина","Номинальная толщина","Полная масса","Полная площадь","Полная площадь боковой поверхности слева","Полная площадь боковой поверхности справа","Полная площадь продольного сечения","Полный объём","Тип объекта","Толщина слоя","Уникальный идентификатор","Уровень","Чистая масса","Чистая площадь","Чистая площадь боковой поверхности слева","Чистая площадь боковой поверхности справа","Чистая площадь основания","Чистая площадь продольного сечения","Чистый объём"
"Слой 1 - Бетон: 100,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","2084.8557756","100.0000000","1438.5504852","","6.2545673","6.2545673","6.2545673","0.6254567","Слой","100.0000000","988fed49-42e5-8c51-02b4-86de12397c83","1","1189.3413380","","5.3010493","5.1710493","0.1884856","5.1710493","0.5171049"
"Слой 1 - Бетон: 100,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","2047.4970828","100.0000000","1412.7729872","","6.1424912","6.1424912","6.1424912","0.6142491","Слой","100.0000000","bdcc14cc-9f81-87a0-1e91-380175c355c5","1","1178.7643227","","5.2516468","5.6760119","0.1885668","5.1222962","0.5125062"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14622.8539059","450.0000000","45403.9613779","","43.8685617","43.8685617","43.8685617","19.7408528","Слой","450.0000000","c56c800d-00a7-86fd-035e-8a137eccdd19","1","42377.0306194","","40.9439909","40.9439909","6.5802843","40.9439909","18.4247959"
"Слой 1 - Бетон: 250,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","3444.3721941","250.0000000","5941.5420347","","10.3331166","10.3331166","10.3331166","2.5832791","Слой","250.0000000","b067f5cb-98cb-8010-0c9a-eece2ae6475e","1","5566.4582953","","9.3308376","10.0307564","0.8610930","9.6807970","2.4201993"
"Слой 1 - Бетон: 250,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","3351.7194312","250.0000000","5781.7160188","","10.0551583","10.0551583","10.0551583","2.5137896","Слой","250.0000000","3f76c57b-8543-8d8f-0d7a-5d087919a4aa","1","5396.2682842","","9.6648144","9.1048144","0.8379299","9.3848144","2.3462036"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","2126.7730526","200.0000000","3107.4468125","","6.7553192","6.7553192","6.7553192","1.3510638","Слой","200.0000000","5e9790a1-353f-8678-00b0-92d122604c23","1","1937.7336917","","4.2824645","4.1424645","0.2553546","4.2124645","0.8424929"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","11218.6782966","200.0000000","15481.7760492","","33.6560349","33.6560349","33.6560349","6.7312070","Слой","200.0000000","d654da85-a62c-8127-2c28-cfd2d596a146","1","13648.1076460","","29.3897992","29.9497992","2.0737357","29.6697992","5.9339598"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","6532.9718016","200.0000000","9153.5010862","","19.8989154","19.8989154","19.8989154","3.9797831","Слой","200.0000000","fa6d6f4e-098f-8881-2092-5104efc72d65","1","8414.4676805","","18.2923210","18.2923210","1.3065944","18.2923210","3.6584642"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","11118.6782966","200.0000000","15343.7760492","","33.3560349","33.3560349","33.3560349","6.6712070","Слой","200.0000000","42281f53-ae9a-803a-29e9-72385af4e37e","1","13189.2576460","","29.0216928","28.3229056","1.9837357","28.6722992","5.7344598"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","24058.6578059","200.0000000","33200.9477722","","72.1759734","72.1759734","72.1759734","14.4351947","Слой","200.0000000","93b4e744-41f3-8569-14bd-a3a0d00ab13e","1","28582.9012540","","62.1367419","62.1367419","4.3017316","62.1367419","12.4273484"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","24058.6578059","200.0000000","33200.9477722","","72.1759734","72.1759734","72.1759734","14.4351947","Слой","200.0000000","8db5612d-76b2-8278-30a0-8ce5415f296a","1","28582.9012540","","62.1367419","62.1367419","4.3017316","62.1367419","12.4273484"
