"Высота стены","Имя","Имя родительского объекта","Количество","Марка","Марка родительского объекта","Многослойный материал","Многослойный материал.Имя","Многослойный материал.Уникальный идентификатор","Номинальная высота","Номинальная длина","Номинальная толщина","Общая длина арматурных стержней","Общая масса арматурных стержней","Относительная высота верха базовой линии объекта","Относительная высота верха объекта","Относительная высота низа базовой линии объекта","Относительная высота низа объекта","Полная масса","Полная площадь боковой поверхности слева","Полная площадь боковой поверхности справа","Полная площадь продольного сечения","Полный объём","Расположение стены относительно базовой линии","Смещение по вертикали","Смещение родительского объекта по вертикали","Смещение стены по горизонтали","Стиль армирования","Стиль армирования.Имя","Стиль армирования.Уникальный идентификатор","Тип объекта","Толщина стены","Уникальный идентификатор","Уникальный идентификатор родительского объекта","Уровень","Чистая масса","Чистая площадь боковой поверхности слева","Чистая площадь боковой поверхности справа","Чистая площадь основания","Чистая площадь продольного сечения","Чистый объём"
"1500.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","1500.0000000","3360.7018157","200.0000000","0.0000000","0.0000000","1300.0000000","2800.0000000","1300.0000000","1500.0000000","2318.8842528","5.0410527","5.0410527","5.0410527","1.0082105","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","0ebe4ed8-8ddc-4972-adfb-2568b989c4f6","","1","1570.1132920","3.6732898","3.4132898","0.0000000","3.4132898","0.6826580"
"3000.0000000","Стена: 100,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","2084.8557756","100.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","1438.5504852","6.2545673","6.2545673","6.2545673","0.6254567","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","100.0000000","f702998e-a25c-4214-91fe-56c8febe0be4","","1","1189.3413380","5.3010493","5.1710493","0.1884856","5.1710493","0.5171049"
"3000.0000000","Стена: 100,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","2047.4970828","100.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","1412.7729872","6.1424912","6.1424912","6.1424912","0.6142491","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","100.0000000","d241600b-7f38-49e5-8ddb-e817994422a2","","1","1178.7643227","5.2516468","5.6760119","0.1885668","5.1222962","0.5125062"
"3000.0000000","Стена: 450,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","14622.8539059","450.0000000","0.0000000","0.0000000","3010.6129332","5810.6129332","3010.6129332","3010.6129332","45403.9613779","43.8685617","43.8685617","43.8685617","19.7408528","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","450.0000000","aae1f4ca-e01e-48b8-9014-5a05924baa7e","","1","42377.0306194","40.9439909","40.9439909","6.5802843","40.9439909","18.4247959"
"3000.0000000","Стена: 250,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","3444.3721941","250.0000000","0.0000000","0.0000000","3000.0000000","5810.6129332","3000.0000000","3000.0000000","5941.5420347","10.3331166","10.3331166","10.3331166","2.5832791","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","250.0000000","dfea810c-7872-4e55-9fd0-3ed8c6613039","","1","5566.4582953","9.3308376","10.0307564","0.8610930","9.6807970","2.4201993"
"3000.0000000","Стена: 250,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","3351.7194312","250.0000000","0.0000000","0.0000000","3010.6129332","5810.6129332","3010.6129332","3010.6129332","5781.7160188","10.0551583","10.0551583","10.0551583","2.5137896","Справа","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","250.0000000","50fbb1bc-65fa-43ca-9e30-8d1e959ed3cd","","1","5396.2682842","9.6648144","9.1048144","0.8379299","9.3848144","2.3462036"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","2126.7730526","200.0000000","0.0000000","0.0000000","3010.6129332","5810.6129332","3010.6129332","3010.6129332","3107.4468125","6.7553192","6.7553192","6.7553192","1.3510638","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","311ae466-d586-483d-93fa-42c7cee73b44","","1","1937.7336917","4.2824645","4.1424645","0.2553546","4.2124645","0.8424929"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","11218.6782966","200.0000000","0.0000000","0.0000000","3010.6129332","5810.6129332","3010.6129332","3010.6129332","15481.7760492","33.6560349","33.6560349","33.6560349","6.7312070","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","b9d9ae42-4695-4f62-bf62-1fc43911d621","","1","13648.1076460","29.3897992","29.9497992","2.0737357","29.6697992","5.9339598"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","6532.9718016","200.0000000","0.0000000","0.0000000","3010.6129332","5810.6129332","3010.6129332","3010.6129332","9153.5010862","19.8989154","19.8989154","19.8989154","3.9797831","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","95e01b89-e936-46c4-b3d8-811203405a02","","1","8414.4676805","18.2923210","18.2923210","1.3065944","18.2923210","3.6584642"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","11118.6782966","200.0000000","0.0000000","0.0000000","3010.6129332","5810.6129332","3010.6129332","3010.6129332","15343.7760492","33.3560349","33.3560349","33.3560349","6.6712070","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","2da56b94-4e23-4e7f-baa3-a22eb6739419","","1","13189.2576460","29.0216928","28.3229056","1.9837357","28.6722992","5.7344598"
